x,y,z
14.717918,-10.2309265,18.07951
14.995615,-10.055539,18.225666
14.995615,-10.055539,18.225666
15.01023,-9.748611,18.854137
15.01023,-9.748611,18.854137
15.083308,-10.2309265,18.313358
15.083308,-10.2309265,18.313358
14.981,-8.433207,17.173342
14.981,-8.433207,17.173342
16.237942,-8.243204,17.100262
16.237942,-8.243204,17.100262
15.361005,-6.5185623,17.933352
15.361005,-6.5185623,17.933352
14.7617655,-5.5539317,18.24028
14.7617655,-5.5539317,18.24028
14.907922,-4.750073,18.649517
14.907922,-4.750073,18.649517
14.907922,-4.750073,18.649517
15.4487,2.2654195,19.833382
15.4487,2.2654195,19.833382
19.394913,5.4077754,16.647179
19.394913,5.4077754,16.647179
17.728733,0.9061678,16.603333
17.728733,0.9061678,16.603333
16.647179,-7.8485823,13.05174
16.647179,-7.8485823,13.05174
16.851797,-14.060216,12.788658
16.851797,-14.060216,12.788658
16.851797,-14.060216,12.788658
23.355743,-14.235603,8.608594
23.355743,-14.235603,8.608594
35.267467,-9.12014,-0.9500146
35.267467,-9.12014,-0.9500146
40.996784,-6.5331774,-10.55247
40.996784,-6.5331774,-10.55247
42.96989,-8.111663,-18.722595
42.96989,-8.111663,-18.722595
44.431454,-7.8485823,-23.384975
44.431454,-7.8485823,-23.384975
46.287636,-6.854721,-26.99503
46.287636,-6.854721,-26.99503
46.287636,-6.854721,-26.99503
47.573807,-9.690149,-35.925167
47.573807,-9.690149,-35.925167
48.640747,-11.1370945,-44.548378
48.640747,-11.1370945,-44.548378
47.63227,-12.510962,-55.36393
47.63227,-12.510962,-55.36393
43.802982,-14.045601,-67.18796
43.802982,-14.045601,-67.18796
38.132126,-17.494884,-77.15581
38.132126,-17.494884,-77.15581
38.132126,-17.494884,-77.15581
30.634317,-20.754166,-84.30283
30.634317,-20.754166,-84.30283
22.90266,-20.578777,-92.326805
22.90266,-20.578777,-92.326805
14.951769,-12.759428,-103.80006
14.951769,-12.759428,-103.80006
8.228588,-13.475593,-105.13007
8.228588,-13.475593,-105.13007
-0.4384683,-20.359545,-100.49693
-0.4384683,-20.359545,-100.49693
-0.4384683,-20.359545,-100.49693
-10.42093,-27.988894,-92.4145
-10.42093,-27.988894,-92.4145
-20.30108,-30.035078,-86.11517
-20.30108,-30.035078,-86.11517
-28.003508,-27.521193,-85.793625
-28.003508,-27.521193,-85.793625
-35.85209,-26.878107,-79.93277
-35.85209,-26.878107,-79.93277
-42.00526,-26.556564,-73.99883
-42.00526,-26.556564,-73.99883
-44.650684,-25.840399,-66.63256
-44.650684,-25.840399,-66.63256
-44.650684,-25.840399,-66.63256
-48.991524,-23.355743,-64.60099
-48.991524,-23.355743,-64.60099
-51.081554,-21.148787,-60.88863
-51.081554,-21.148787,-60.88863
-53.02543,-18.57644,-59.558605
-53.02543,-18.57644,-59.558605
-55.18854,-15.273312,-65.87255
-55.18854,-15.273312,-65.87255
-58.067818,-9.222449,-73.34113
-58.067818,-9.222449,-73.34113
-58.067818,-9.222449,-73.34113
-57.410114,-4.983923,-76.980415
-57.410114,-4.983923,-76.980415
-52.76235,-1.6661795,-88.43906
-52.76235,-1.6661795,-88.43906
-45.01608,-1.7100264,-94.0953
-45.01608,-1.7100264,-94.0953
-36.86057,0.83308977,-101.60772
-36.86057,0.83308977,-101.60772
-28.29582,3.8585207,-106.53318
-28.29582,3.8585207,-106.53318
-17.524117,8.330897,-109.923996
-17.524117,8.330897,-109.923996
-17.524117,8.330897,-109.923996
-7.527039,10.099386,-110.464775
-7.527039,10.099386,-110.464775
3.5954401,7.746273,-106.82549
3.5954401,7.746273,-106.82549
14.7763815,6.0216312,-101.79772
14.7763815,6.0216312,-101.79772
26.322714,4.3992987,-93.46683
26.322714,4.3992987,-93.46683
35.07746,0.7161648,-81.02894
35.07746,0.7161648,-81.02894
35.07746,0.7161648,-81.02894
41.50833,8.681672,-70.988014
41.50833,8.681672,-70.988014
45.43993,11.853259,-55.70009
45.43993,11.853259,-55.70009
45.469162,15.94563,-45.279156
45.469162,15.94563,-45.279156
42.867584,15.2294655,-33.557438
42.867584,15.2294655,-33.557438
40.25139,15.097925,-27.155802
40.25139,15.097925,-27.155802
40.25139,15.097925,-27.155802
35.413624,16.208712,-18.78106
35.413624,16.208712,-18.78106
30.078924,17.5095,-12.467114
30.078924,17.5095,-12.467114
