mag_x_ut,mag_y_ut,mag_z_ut
-795.5945984487144,-573.9036589479596,622.5932849124026
-795.5945984487144,-573.9036589479596,622.5932849124026
-795.5945984487144,-573.9036589479596,622.5932849124026
-679.7005586869482,-522.7618277875572,830.4179746292396
-679.7005586869482,-522.7618277875572,830.4179746292396
-540.3659926444958,-431.51965662386084,1006.9008683199856
-540.3659926444958,-431.51965662386084,1006.9008683199856
-348.16794421157215,-327.2152084068373,1114.1277338517273
-348.16794421157215,-327.2152084068373,1114.1277338517273
-132.4321283740893,-223.36842787416475,1180.1079061112487
-132.4321283740893,-223.36842787416475,1180.1079061112487
113.85318861917365,-105.08861724266337,1188.6160160808104
113.85318861917365,-105.08861724266337,1188.6160160808104
320.9572817988793,-19.788910880188975,1138.1591226927312
320.9572817988793,-19.788910880188975,1138.1591226927312
483.5908366267794,59.51254782163926,1099.54977060879
483.5908366267794,59.51254782163926,1099.54977060879
551.9033133248531,85.5011039643305,1042.0001144939997
551.9033133248531,85.5011039643305,1042.0001144939997
631.5862504656716,28.266908342652115,997.5059833316445
631.5862504656716,28.266908342652115,997.5059833316445
714.9600231393797,-23.87055755552787,909.2604160961793
714.9600231393797,-23.87055755552787,909.2604160961793
822.80539693672,-72.59642748718647,746.1221872265867
822.80539693672,-72.59642748718647,746.1221872265867
872.5846727998369,-114.53213471722681,609.0496934042578
872.5846727998369,-114.53213471722681,609.0496934042578
872.5846727998369,-114.53213471722681,609.0496934042578
941.3757375991285,-125.50307736805857,437.8898405892314
941.3757375991285,-125.50307736805857,437.8898405892314
949.9610917960493,-158.35845601815424,338.9336057965562
949.9610917960493,-158.35845601815424,338.9336057965562
958.4182525459934,-181.52945844523538,243.4891597979925
958.4182525459934,-181.52945844523538,243.4891597979925
968.7578392857486,-216.22031615212327,112.43460632379546
968.7578392857486,-216.22031615212327,112.43460632379546
946.8150173447523,-241.81306887320065,-23.238146630059703
946.8150173447523,-241.81306887320065,-23.238146630059703
924.4785713444948,-289.9394184244858,-139.6691201737858
924.4785713444948,-289.9394184244858,-139.6691201737858
814.9481933094021,-356.1056444725507,-319.9852431189918
814.9481933094021,-356.1056444725507,-319.9852431189918
643.2813110054917,-491.8211850131949,-472.4167980362493
643.2813110054917,-491.8211850131949,-472.4167980362493
376.4305936248623,-666.1646309956782,-476.86800003668026
376.4305936248623,-666.1646309956782,-476.86800003668026
91.4190437029372,-796.4496932411181,-463.2092572027289
91.4190437029372,-796.4496932411181,-463.2092572027289
-138.97683667089888,-775.8291613703454,-532.3866138756907
-138.97683667089888,-775.8291613703454,-532.3866138756907
-268.71063678870274,-678.3840755205392,-653.9213666498971
-268.71063678870274,-678.3840755205392,-653.9213666498971
-388.28552335956147,-599.1202098735191,-708.2898664387985
-388.28552335956147,-599.1202098735191,-708.2898664387985
-388.28552335956147,-599.1202098735191,-708.2898664387985
-422.7871813844572,-696.3800157477156,-586.3647662737499
-422.7871813844572,-696.3800157477156,-586.3647662737499
-468.7699890809503,-713.0052453047923,-531.3935989221685
-468.7699890809503,-713.0052453047923,-531.3935989221685
-517.4885885720541,-391.4389276351935,-833.2785272602185
-517.4885885720541,-391.4389276351935,-833.2785272602185
-562.6281679237717,-259.29796807640366,-835.8552223097288
-562.6281679237717,-259.29796807640366,-835.8552223097288
-689.8667501875111,-131.4327778104599,-761.7665419910214
-689.8667501875111,-131.4327778104599,-761.7665419910214
-854.0313216921796,-127.5063276356484,-619.1851268766522
-854.0313216921796,-127.5063276356484,-619.1851268766522
-978.6165504896626,-136.80956494511358,-351.30260265128607
-978.6165504896626,-136.80956494511358,-351.30260265128607
-1008.5532926759072,-108.21842163478622,-293.26670834639947
-1008.5532926759072,-108.21842163478622,-293.26670834639947
-1012.09675450323,-60.33895868175231,-221.4604498575028
-1012.09675450323,-60.33895868175231,-221.4604498575028
-999.2112163666691,-31.808502999788793,-64.13856180191985
-999.2112163666691,-31.808502999788793,-64.13856180191985
-994.6235114635372,-63.31618797175557,10.219152717975511
-994.6235114635372,-63.31618797175557,10.219152717975511
-1000.0880599450134,-42.93265365052126,33.80194099079173
-1000.0880599450134,-42.93265365052126,33.80194099079173
-1000.0880599450134,-42.93265365052126,33.80194099079173
-1003.0509046429119,20.36208037264086,93.95144903105518
-1003.0509046429119,20.36208037264086,93.95144903105518
-961.0753818440321,193.237700642824,215.61403208509657
-961.0753818440321,193.237700642824,215.61403208509657
-850.5101457357789,335.2552334887633,393.8312874804318
-850.5101457357789,335.2552334887633,393.8312874804318
-755.8425492809009,401.3002319688653,584.9437794467049
-755.8425492809009,401.3002319688653,584.9437794467049
-667.0497016268131,336.8654145799485,761.0212865631269
-667.0497016268131,336.8654145799485,761.0212865631269
-576.638657993924,145.01641913982945,868.3179522611202
-576.638657993924,145.01641913982945,868.3179522611202
-473.8643455206636,-27.542719668332584,928.7573289083647
-473.8643455206636,-27.542719668332584,928.7573289083647
-441.5883664219654,-233.99794717189042,893.2206226728229
-441.5883664219654,-233.99794717189042,893.2206226728229
-459.9561167412094,-488.302454654267,800.4617997625213
-459.9561167412094,-488.302454654267,800.4617997625213
-462.5763180714233,-649.8874268588702,641.1205516889321
-462.5763180714233,-649.8874268588702,641.1205516889321
-446.5053067785169,-710.7954881336699,560.5484190724751
-446.5053067785169,-710.7954881336699,560.5484190724751
-482.73740986743275,-753.5743238798265,441.3914724290773
-482.73740986743275,-753.5743238798265,441.3914724290773
-524.4563778480978,-762.8148229351053,318.96008543192096
-524.4563778480978,-762.8148229351053,318.96008543192096
-524.4563778480978,-762.8148229351053,318.96008543192096
-548.2740499008279,-734.44504797971,290.901214017788
-548.2740499008279,-734.44504797971,290.901214017788
-534.3861331950077,-673.4726018529151,383.1471451770926
-534.3861331950077,-673.4726018529151,383.1471451770926
-491.9984784453462,-558.01380886771,535.7843309638725
-491.9984784453462,-558.01380886771,535.7843309638725
-399.49876094192547,-87.23296614716818,713.9126054313942
-399.49876094192547,-87.23296614716818,713.9126054313942
-354.9089765428237,319.44454312173366,539.5567518089396
-354.9089765428237,319.44454312173366,539.5567518089396
-303.3507132612728,467.51948045086965,411.25913613331835
-303.3507132612728,467.51948045086965,411.25913613331835
-229.41093963617013,584.9614035865669,293.3603283755764
-229.41093963617013,584.9614035865669,293.3603283755764
-112.17527747243695,699.7695162745094,117.80267661726032
-112.17527747243695,699.7695162745094,117.80267661726032
98.9260855873805,798.3437381376109,-220.92730729046684
98.9260855873805,798.3437381376109,-220.92730729046684
236.02522764641714,755.3502670296343,-502.61419702593474
236.02522764641714,755.3502670296343,-502.61419702593474
376.59079263193973,710.0444748098419,-654.7079664184913
376.59079263193973,710.0444748098419,-654.7079664184913
455.6354604689869,729.3137335257009,-643.2657882467722
455.6354604689869,729.3137335257009,-643.2657882467722
455.6354604689869,729.3137335257009,-643.2657882467722
493.33466105494904,686.0738814819872,-709.2349636668665
493.33466105494904,686.0738814819872,-709.2349636668665
438.04419620556604,658.4452837996748,-812.6540402103662
438.04419620556604,658.4452837996748,-812.6540402103662
369.95674649952053,655.9767239836435,-845.5318494960189
369.95674649952053,655.9767239836435,-845.5318494960189
385.51552747936915,625.3879841876144,-840.3655719999108
385.51552747936915,625.3879841876144,-840.3655719999108
429.76132192461466,560.027568525751,-872.0594235348887
429.76132192461466,560.027568525751,-872.0594235348887
457.04678858597214,461.3345525420527,-855.3993952297261
457.04678858597214,461.3345525420527,-855.3993952297261
482.39666433725876,358.28226463974124,-859.8816462891402
482.39666433725876,358.28226463974124,-859.8816462891402
458.85513505960387,254.18803651758785,-890.0537776666341
458.85513505960387,254.18803651758785,-890.0537776666341
397.1545434590623,189.35168468590743,-936.7393667789992
397.1545434590623,189.35168468590743,-936.7393667789992
335.84142346243857,167.61686511062908,-977.6861519689216
335.84142346243857,167.61686511062908,-977.6861519689216
301.3966195195813,147.54523262858916,-1005.1235089264445
301.3966195195813,147.54523262858916,-1005.1235089264445
280.57555030424334,152.39853700161004,-1019.8815799453172
