x,y,z
33.265125,-34.02514,-69.51183
32.812042,-33.84975,-69.64338
32.812042,-33.84975,-69.64338
30.575853,-34.44899,-70.73955
30.575853,-34.44899,-70.73955
28.938908,-35.07746,-69.70184
28.938908,-35.07746,-69.70184
28.222742,-39.169834,-61.210175
28.222742,-39.169834,-61.210175
26.001171,-41.21602,-55.247
26.001171,-41.21602,-55.247
25.650394,-41.391407,-50.043846
25.650394,-41.391407,-50.043846
19.40953,-41.201405,-28.281202
19.40953,-41.201405,-28.281202
15.872552,-28.778135,-4.8816137
15.872552,-28.778135,-4.8816137
11.809412,-12.920199,10.494008
11.809412,-12.920199,10.494008
4.106986,27.404266,23.5019
4.106986,27.404266,23.5019
-4.6185327,51.49079,20.798012
-4.6185327,51.49079,20.798012
-4.6185327,51.49079,20.798012
-5.1154633,57.79012,18.57644
-5.1154633,57.79012,18.57644
-5.7877812,63.241745,14.600994
-5.7877812,63.241745,14.600994
-6.7524114,79.78661,1.3154049
-6.7524114,79.78661,1.3154049
-9.704765,89.06753,-12.905582
-9.704765,89.06753,-12.905582
-10.581701,89.49138,-12.730196
-10.581701,89.49138,-12.730196
-11.327098,89.82754,-13.943291
-11.327098,89.82754,-13.943291
-13.373282,93.37913,-20.783396
-13.373282,93.37913,-20.783396
-17.027184,97.179184,-32.271267
-17.027184,97.179184,-32.271267
-17.027184,97.179184,-32.271267
-22.785736,98.43613,-42.122185
-22.785736,98.43613,-42.122185
-33.32359,97.237656,-39.403683
-33.32359,97.237656,-39.403683
-40.207542,93.46683,-31.949722
-40.207542,93.46683,-31.949722
-40.529083,90.68986,-21.777258
-40.529083,90.68986,-21.777258
-36.86057,71.499565,6.8401055
-36.86057,71.499565,6.8401055
-36.71441,29.348145,22.391113
-36.71441,29.348145,22.391113
-39.082138,11.970184,20.783396
-39.082138,11.970184,20.783396
-39.725227,0.38000584,17.567963
-39.725227,0.38000584,17.567963
-39.725227,0.38000584,17.567963
-38.965218,-10.771705,12.890967
-38.965218,-10.771705,12.890967
-37.62058,-14.630225,10.903244
-37.62058,-14.630225,10.903244
-39.301376,-20.198772,7.8485823
-39.301376,-20.198772,7.8485823
-40.236774,-35.88132,-8.915522
-40.236774,-35.88132,-8.915522
-38.921368,-43.598362,-27.404266
-38.921368,-43.598362,-27.404266
-39.856766,-36.90441,-15.2294655
-39.856766,-36.90441,-15.2294655
-39.91523,-31.555101,-13.490208
-39.91523,-31.555101,-13.490208
-55.232388,-17.187958,-13.957908
-55.232388,-17.187958,-13.957908
-55.232388,-17.187958,-13.957908
-60.31862,-15.258697,-22.946507
-60.31862,-15.258697,-22.946507
-66.60333,-11.444022,-32.09588
-66.60333,-11.444022,-32.09588
-70.59339,-7.775504,-37.22596
-70.59339,-7.775504,-37.22596
-73.39959,-7.760888,-47.953815
-73.39959,-7.760888,-47.953815
-72.814964,-10.815551,-56.474716
-72.814964,-10.815551,-56.474716
-69.35107,-14.381761,-57.000877
-69.35107,-14.381761,-57.000877
-63.183277,-18.693365,-39.71061
-63.183277,-18.693365,-39.71061
-54.589302,-24.656532,-29.85969
-54.589302,-24.656532,-29.85969
-54.589302,-24.656532,-29.85969
-49.006138,-34.083603,-53.6539
-49.006138,-34.083603,-53.6539
-41.069862,-37.635197,-62.744816
-41.069862,-37.635197,-62.744816
-37.094418,-39.57907,-65.79948
-37.094418,-39.57907,-65.79948
-32.54896,-42.282955,-62.40865
-32.54896,-42.282955,-62.40865
-26.99503,-43.23297,-60.406315
-26.99503,-43.23297,-60.406315
-17.64104,-44.548378,-59.6463
-17.64104,-44.548378,-59.6463
-5.2616196,-45.38147,-49.92692
-5.2616196,-45.38147,-49.92692
7.4393454,-41.50833,-31.379715
7.4393454,-41.50833,-31.379715
7.4393454,-41.50833,-31.379715
16.501022,-36.261326,-25.665009
16.501022,-36.261326,-25.665009
19.64338,-38.263668,-33.469746
19.64338,-38.263668,-33.469746
23.589594,-38.555977,-43.43759
23.589594,-38.555977,-43.43759
26.571178,-37.3575,-45.556854
26.571178,-37.3575,-45.556854
32.98743,-31.935108,-34.536686
32.98743,-31.935108,-34.536686
33.19205,-31.204325,-35.545162
33.19205,-31.204325,-35.545162
33.68898,-30.122772,-31.262789
33.68898,-30.122772,-31.262789
33.68898,-30.122772,-31.262789
34.88746,-25.738087,-22.318035
34.88746,-25.738087,-22.318035
35.559776,-12.730196,-6.620871
35.559776,-12.730196,-6.620871
32.168957,-17.816427,-9.923999
32.168957,-17.816427,-9.923999
42.662964,-8.681672,-12.408652
42.662964,-8.681672,-12.408652
48.4069,-14.849459,-32.592808
48.4069,-14.849459,-32.592808
50.350773,-13.285589,-38.731365
50.350773,-13.285589,-38.731365
50.891556,-14.396376,-43.203743
50.891556,-14.396376,-43.203743
50.599243,-14.571762,-46.12686
50.599243,-14.571762,-46.12686
50.599243,-14.571762,-46.12686
48.479977,-14.425607,-36.436714
48.479977,-14.425607,-36.436714
44.226833,-11.707104,-18.401052
44.226833,-11.707104,-18.401052
27.272728,-11.020169,0.24846536
27.272728,-11.020169,0.24846536
20.958784,-4.7354574,8.8570595
20.958784,-4.7354574,8.8570595
9.646302,3.2592812,16.325636
9.646302,3.2592812,16.325636
-6.5185623,20.344929,21.83572
-6.5185623,20.344929,21.83572
-17.319498,26.848873,23.151125
-17.319498,26.848873,23.151125
-19.351067,29.216602,21.791874
-19.351067,29.216602,21.791874
-19.351067,29.216602,21.791874
-28.368898,33.966675,21.4411
-28.368898,33.966675,21.4411
-51.753872,27.22888,13.724057
-51.753872,27.22888,13.724057
-73.00497,14.367144,-1.870798
-73.00497,14.367144,-1.870798
-72.72727,4.3846827,-7.8778133
-72.72727,4.3846827,-7.8778133
-66.53025,-13.636364,-17.11488
-66.53025,-13.636364,-17.11488
-58.36013,-22.888044,-24.320374
-58.36013,-22.888044,-24.320374
-55.1447,-31.949722,-40.60216
-55.1447,-31.949722,-40.60216
-50.248466,-36.071323,-51.227715
-50.248466,-36.071323,-51.227715
-50.248466,-36.071323,-51.227715
-48.304592,-35.033615,-61.721718
-48.304592,-35.033615,-61.721718
-38.64367,-36.34902,-69.058754
-38.64367,-36.34902,-69.058754
-30.342007,-37.299034,-72.27419
-30.342007,-37.299034,-72.27419
-32.008186,-35.442852,-75.03654
-32.008186,-35.442852,-75.03654
-33.703594,-33.513596,-77.87196
-33.703594,-33.513596,-77.87196
-36.027477,-27.448114,-86.58287
-36.027477,-27.448114,-86.58287
-36.962875,-6.4600997,-107.16165
-36.962875,-6.4600997,-107.16165
-35.910553,9.982462,-115.75563
-35.910553,9.982462,-115.75563
-35.910553,9.982462,-115.75563
-33.718212,25.051155,-118.81029
-33.718212,25.051155,-118.81029
-28.16428,41.25987,-119.48261
-28.16428,41.25987,-119.48261
-19.102602,54.06314,-117.37796
-19.102602,54.06314,-117.37796
-10.727857,67.61181,-110.011696
-10.727857,67.61181,-110.011696
-5.0716166,81.87664,-94.43146
-5.0716166,81.87664,-94.43146
2.5577316,88.32213,-77.76966
2.5577316,88.32213,-77.76966
6.883952,92.73604,-60.464775
6.883952,92.73604,-60.464775
6.883952,92.73604,-45.49839
4.9985385,94.051445,-48.158436
4.9985385,94.051445,-48.158436
2.2361882,93.14528,-33.995907
2.2361882,93.14528,-33.995907
-2.0023384,86.81672,-15.244081
-2.0023384,86.81672,-15.244081
-8.608594,83.90821,-7.3662667
-8.608594,83.90821,-7.3662667
-13.826367,79.94738,-1.9584917
-13.826367,79.94738,-1.9584917
-14.045601,70.038,7.103186
-14.045601,70.038,7.103186
-19.541069,58.91552,14.732533
-19.541069,58.91552,14.732533
-31.745104,45.089157,17.597195
-31.745104,45.089157,17.597195
-31.745104,45.089157,17.597195
-45.323006,30.95586,12.145572
-45.323006,30.95586,12.145572
-59.617073,29.070446,0.84770536
-59.617073,29.070446,0.84770536
-71.22186,25.957321,-17.24642
-71.22186,25.957321,-17.24642
-76.27886,23.297281,-29.143524
-76.27886,23.297281,-29.143524
-78.95352,19.453377,-40.792168
-78.95352,19.453377,-40.792168
-77.521194,15.039462,-57.48319
-77.521194,15.039462,-57.48319
-74.437294,15.872552,-72.157265
-74.437294,15.872552,-72.157265
-69.263374,14.250219,-83.13358
-69.263374,14.250219,-83.13358
-69.263374,14.250219,-83.13358
-65.185616,12.58404,-89.47676
-65.185616,12.58404,-89.47676
-59.76323,11.853259,-95.48377
-59.76323,11.853259,-95.48377
-52.075417,15.317159,-103.156975
-52.075417,15.317159,-103.156975
-43.51067,24.305758,-111.29787
-43.51067,24.305758,-111.29787
-36.363636,28.427359,-113.84099
-36.363636,28.427359,-113.84099
-14.527915,22.084185,-119.73107
-14.527915,22.084185,-119.73107
9.690149,8.900907,-115.054085
9.690149,8.900907,-115.054085
15.624086,7.6001167,-112.35019
15.624086,7.6001167,-112.35019
15.624086,7.6001167,-112.35019
17.64104,8.02397,-111.85326
17.64104,8.02397,-111.85326
25.577316,3.1715875,-105.27624
25.577316,3.1715875,-105.27624
36.52441,6.5770245,-97.5592
36.52441,6.5770245,-97.5592
50.73078,11.1224785,-83.645134
50.73078,11.1224785,-83.645134
58.783985,18.415668,-65.609474
58.783985,18.415668,-65.609474
60.815548,21.70418,-56.854717
60.815548,21.70418,-56.854717
61.57556,22.917274,-47.413036
61.57556,22.917274,-47.413036
61.005558,23.209589,-39.155216
61.005558,23.209589,-39.155216
61.005558,23.209589,-39.155216
59.54399,22.858814,-29.391993
59.54399,22.858814,-29.391993
56.197018,22.741888,-19.77492
56.197018,22.741888,-19.77492
50.9354,23.721134,-10.523239
50.9354,23.721134,-10.523239
43.832214,26.644257,-1.8561823
43.832214,26.644257,-1.8561823
33.966675,26.644257,7.5855017
33.966675,26.644257,7.5855017
20.783396,28.412745,14.396376
20.783396,28.412745,14.396376
9.763227,29.172758,18.123356
9.763227,29.172758,18.123356
2.280035,33.878983,19.77492
0.7453961,33.878983,19.77492
0.7453961,33.878983,19.77492
-4.5016074,40.14908,18.547209
-4.5016074,40.14908,18.547209
-3.4200528,52.49927,14.586379
-3.4200528,52.49927,14.586379
18.021048,46.24379,11.297866
18.021048,46.24379,11.297866
38.570595,37.942123,-1.2130957
38.570595,37.942123,-1.2130957
46.24379,41.24525,-13.358667
46.24379,41.24525,-13.358667
48.845367,46.47764,-21.631102
48.845367,46.47764,-21.631102
55.8024,40.952938,-32.753582
55.8024,40.952938,-32.753582
55.8024,40.952938,-32.753582
59.061676,36.889797,-45.26454
59.061676,36.889797,-45.26454
59.529377,32.066647,-60.011692
59.529377,32.066647,-60.011692
58.725517,23.180357,-71.0611
58.725517,23.180357,-71.0611
53.843903,10.304005,-83.6159
53.843903,10.304005,-83.6159
52.89389,-7.6439633,-73.15112
52.89389,-7.6439633,-73.15112
44.694534,-22.40573,-71.68957
44.694534,-22.40573,-71.68957
28.032738,-37.328266,-75.387314
28.032738,-37.328266,-75.387314
12.277112,-49.020756,-63.08097
12.277112,-49.020756,-63.08097
12.277112,-49.020756,-63.08097
13.431746,-51.739258,-48.5969
13.431746,-51.739258,-48.5969
13.724057,-49.488457,-33.937447
13.724057,-49.488457,-33.937447
10.596317,-48.465363,-28.281202
10.596317,-48.465363,-28.281202
8.053201,-44.37299,-25.080385
8.053201,-44.37299,-25.080385
5.4077754,-41.698334,-19.745687
5.4077754,-41.698334,-19.745687
19.321835,-27.22888,-1.3738673
19.321835,-27.22888,-1.3738673
30.122772,-7.0447235,8.506285
30.122772,-7.0447235,8.506285
32.271267,14.060216,15.200233
32.271267,14.060216,15.200233
32.271267,14.060216,15.200233
22.084185,29.275066,19.818766
22.084185,29.275066,19.818766
20.038002,23.472668,20.242619
20.038002,23.472668,20.242619
30.882782,0.7600117,8.813212
30.882782,0.7600117,8.813212
37.15288,-4.150833,0.3215434
37.15288,-4.150833,0.3215434
36.75826,0.7600117,1.8854135
36.75826,0.7600117,1.8854135
42.063725,20.125694,2.2361882
42.063725,20.125694,2.2361882
37.67904,40.909092,3.0254312
37.67904,40.909092,3.0254312
28.32505,53.59544,3.551593
28.32505,53.59544,3.551593
28.32505,53.59544,3.551593
18.912598,57.907043,6.767027
18.912598,57.907043,6.767027
8.959369,60.903244,9.82169
8.959369,60.903244,9.82169
-2.6308098,61.91172,11.736334
-2.6308098,61.91172,11.736334
-12.540193,61.0494,11.794797
-12.540193,61.0494,11.794797
-22.80035,64.527916,10.201695
-22.80035,64.527916,10.201695
-23.881907,45.586086,18.24028
-23.881907,45.586086,18.24028
-24.247295,34.65361,20.184156
-24.247295,34.65361,20.184156
-24.919615,22.931892,21.251097
-24.919615,22.931892,21.251097
-24.919615,22.931892,21.251097
-19.833382,10.610932,19.657995
-19.833382,10.610932,19.657995
-17.377958,6.781643,17.933352
-17.377958,6.781643,17.933352
-20.081848,-0.26308098,14.410991
-20.081848,-0.26308098,14.410991
-24.554224,-5.013154,11.707104
-24.554224,-5.013154,11.707104
-21.178017,-5.5100846,12.437883
-21.178017,-5.5100846,12.437883
-17.436422,-6.007015,13.3878975
-17.436422,-6.007015,13.3878975
-8.301666,-7.4101143,13.4171295
-8.301666,-7.4101143,13.4171295
-8.301666,-7.4101143,13.4171295
3.0985093,-9.207834,13.270972
3.0985093,-9.207834,13.270972
16.398714,-5.422391,14.220989
16.398714,-5.422391,14.220989
22.66881,2.4261913,14.703303
22.66881,2.4261913,14.703303
21.558023,14.14791,18.035662
21.558023,14.14791,18.035662
17.933352,26.176558,21.455713
17.933352,26.176558,21.455713
16.588717,41.026016,20.40339
16.588717,41.026016,20.40339
21.368021,40.470623,18.649517
21.368021,40.470623,18.649517
14.17714,49.546917,18.021048
14.17714,49.546917,18.021048
14.17714,49.546917,18.021048
7.2493424,54.01929,18.167202
7.2493424,54.01929,18.167202
17.187958,51.826954,15.901783
17.187958,51.826954,15.901783
22.420345,55.42239,12.189418
22.420345,55.42239,12.189418
20.096462,51.49079,16.588717
20.096462,51.49079,16.588717
14.381761,52.9962,17.085648
14.381761,52.9962,17.085648
11.064016,59.6463,15.361005
11.064016,59.6463,15.361005
