x,y,z
2.2361882,54.647762,-158.66705
3.8292897,50.818474,-160.12862
3.8292897,50.818474,-160.12862
5.62701,44.270683,-167.18796
5.62701,44.270683,-167.18796
5.4808536,37.81058,-171.76265
5.4808536,37.81058,-171.76265
1.2861736,24.934229,-177.93042
-5.1885414,19.701841,-191.71295
-5.1885414,19.701841,-191.71295
-20.40339,16.924875,-207.61473
-20.40339,16.924875,-207.61473
-36.78749,17.377958,-215.08331
-36.78749,17.377958,-215.08331
-59.310143,21.061092,-215.84332
-59.310143,21.061092,-215.84332
-70.3157,23.589594,-214.74715
-70.3157,23.589594,-214.74715
-78.33967,24.890383,-210.17245
-78.33967,24.890383,-210.17245
-78.33967,21.689564,-210.0263
-76.41041,21.689564,-210.0263
-76.41041,21.689564,-210.0263
-76.118095,17.611809,-208.44781
-76.118095,17.611809,-208.44781
-80.38585,17.94797,-204.88162
-80.38585,17.94797,-204.88162
-85.20901,17.626425,-200.39462
-85.20901,17.626425,-200.39462
-87.18211,15.375622,-193.49605
-87.18211,15.375622,-193.49605
-89.696,13.373282,-187.19673
-89.696,13.373282,-187.19673
-90.03216,11.61941,-183.9813
-90.03216,11.61941,-183.9813
-90.00292,9.368606,-179.46507
-90.00292,9.368606,-179.46507
-90.938324,8.389359,-171.13417
-90.938324,8.389359,-171.13417
-89.81292,10.08477,-162.6425
-89.81292,10.08477,-162.6425
-91.21602,12.598655,-157.42473
-91.21602,12.598655,-157.42473
-91.815254,14.659457,-148.39229
-91.815254,14.659457,-148.39229
-88.92137,17.392576,-137.72289
-88.92137,17.392576,-137.72289
-88.92137,17.392576,-137.72289
-83.03128,20.27185,-126.54195
-83.03128,20.27185,-126.54195
-76.07425,25.43116,-116.983345
-76.07425,25.43116,-116.983345
-66.31102,30.999708,-111.13709
-66.31102,30.999708,-111.13709
-55.26162,36.34902,-107.51243
-55.26162,36.34902,-107.51243
-42.619118,42.326805,-106.95703
-42.619118,42.326805,-106.95703
-31.89126,46.389942,-109.60245
-31.89126,46.389942,-109.60245
-23.531132,50.33616,-111.6048
-23.531132,50.33616,-111.6048
-19.964924,51.476173,-114.674065
-19.964924,51.476173,-114.674065
-15.361005,47.486115,-117.18795
-15.361005,47.486115,-117.18795
-10.567085,43.71529,-122.040344
-10.567085,43.71529,-122.040344
-4.4431453,39.90061,-130.91202
-4.4431453,39.90061,-130.91202
